"","plDate","N","P","K","WLY","CurrentY","TargetY","TC","NR","NPK17_17_17","DAP","MOP","Urea","FCY","plw","harvMonth","STATE","DISTRICT","respY","groRev","plm","rateNPK171717","rateDAP"
"7533",288,86.245338195168,20.6072383698583,40.0135815342857,83.6942777777778,14.8394444444444,31.7359376751455,196416.666666667,1070816.66666667,56.1944444444444,79.7037037037037,52.6851851851852,135.62962962963,"level2",42,11,"Amajyaruguru","Gicumbi",16.896493230701,1267233.33333333,"October",56.1944444444444,79.7037037037037
"7534",288,87.688831336437,20.125816736232,43.4368970949276,64.0683529411765,15.1348235294118,32.3075044217683,198302.941176471,1089650,46.0735294117647,81.4117647058823,60.8970588235294,141.75,"level2",42,11,"Amajyaruguru","Musanze",17.1726808923566,1287952.94117647,"October",46.0735294117647,81.4117647058823
"7535",288,86.5509637991969,20.5946349450723,40.0825775700577,64.7059875,14.38995,31.2766625941426,197521.25,1068980,59.625,78.25,51.9625,135.6125,"level2",42,11,"Amajyaruguru","Rulindo",16.8867125941426,1266501.25,"October",59.625,78.25
"7561",288,86.0982650858312,20.944172039662,39.2669236689308,79.1689125,14.8698,31.7457996579401,197160,1068548.75,61.3125,79.3125,50.0625,133.525,"level2",42,12,"Amajyaruguru","Burera",16.8759996579401,1265708.75,"October",61.3125,79.3125
"7562",288,86.4238773869418,20.975861692738,38.480927405754,70.9026477272727,14.7525,31.7178822964836,197290.909090909,1075105.68181818,63.2045454545455,78.6590909090909,48.3295454545455,133.806818181818,"level2",42,12,"Amajyaruguru","Gakenke",16.9653822964836,1272396.59090909,"October",63.2045454545455,78.6590909090909
"7563",288,86.1054910441561,21.0851367671616,39.495906213765,96.1704166666667,14.8394444444444,31.7592847560225,197670.37037037,1071317.59259259,60.9907407407407,80.1296296296296,50.6111111111111,133.37037037037,"level2",42,12,"Amajyaruguru","Gicumbi",16.9198403115781,1268987.96296296,"October",60.9907407407407,80.1296296296296
"7564",288,86.2910254293385,20.8597877162434,41.3145169042897,79.8910588235294,15.1348235294118,32.1069811519194,198113.235294118,1074798.52941176,55.9852941176471,81.0147058823529,54.8823529411765,135.264705882353,"level2",42,12,"Amajyaruguru","Musanze",16.9721576225077,1272911.76470588,"October",55.9852941176471,81.0147058823529
"7565",288,86.3893548522009,20.6798638279831,39.8250665401542,79.0914,14.38995,31.2525134378112,197540,1067146.25,61.3125,77.95,51.075,134.725,"level2",42,12,"Amajyaruguru","Rulindo",16.8625634378112,1264686.25,"October",61.3125,77.95
"7591",288,86.6382727193534,20.8418223475571,39.7879775760257,93.1318125,14.8698,31.8304489196177,197641.25,1074416.25,58.925,79.7875,51.5875,135.35,"level2",42,13,"Amajyaruguru","Burera",16.9606489196177,1272057.5,"October",58.925,79.7875
"7592",288,86.7578665824342,20.8035518370147,38.9779084439906,85.833,14.7525,31.7665235067849,197397.727272727,1078646.59090909,60.9545454545455,78.7272727272727,49.7159090909091,135.386363636364,"level2",42,13,"Amajyaruguru","Gakenke",17.0140235067849,1276044.31818182,"October",60.9545454545455,78.7272727272727
"7593",288,85.8263051734442,20.8427550013535,39.3266667817673,108.426888888889,14.8394444444444,31.6730014512156,196369.444444444,1066148.14814815,59.3240740740741,79.6018518518518,50.7407407407407,133.638888888889,"level2",42,13,"Amajyaruguru","Gicumbi",16.8335570067711,1262517.59259259,"October",59.3240740740741,79.6018518518518
"7594",288,86.9303226507096,20.5010985259377,42.4772075624193,94.1934705882353,15.1348235294118,32.2108493231997,198301.470588235,1082401.47058824,51.1029411764706,81.3088235294118,58.0147058823529,138.352941176471,"level2",42,13,"Amajyaruguru","Musanze",17.076025793788,1280702.94117647,"October",51.1029411764706,81.3088235294118
"7595",288,86.0144013934759,20.8725253385713,39.2691089530938,92.54055,14.38995,31.1987514701843,197525,1063136.25,63.825,77.9125,49.575,133.05,"level2",42,13,"Amajyaruguru","Rulindo",16.8088014701843,1260661.25,"October",63.825,77.9125
"7621",288,86.463560013777,20.9556570453484,39.4712795826505,106.9072125,14.8698,31.8023314326326,197696.25,1072246.25,60.6125,79.625,50.625,134.45,"level2",42,14,"Amajyaruguru","Burera",16.9325314326326,1269942.5,"October",60.6125,79.625
"7622",288,86.5095350251725,20.9281228175232,38.6225184362856,100.180227272727,14.7525,31.7306069001252,197337.5,1076011.36363636,62.4659090909091,78.7272727272727,48.7727272727273,134.306818181818,"level2",42,14,"Amajyaruguru","Gakenke",16.9781069001252,1273348.86363636,"October",62.4659090909091,78.7272727272727
"7623",288,86.2945265931658,20.693214954654,39.9469204429912,119.571083333333,14.8394444444444,31.7503578699753,196718.518518519,1071596.2962963,56.8518518518519,79.8703703703704,52.3981481481481,135.435185185185,"level2",42,14,"Amajyaruguru","Gicumbi",16.9109134255309,1268314.81481481,"October",56.8518518518519,79.8703703703704
"7624",288,87.2040177731327,20.4243590753183,42.6237974305087,108.180264705882,15.1348235294118,32.2395772923529,198386.764705882,1084472.05882353,50.1029411764706,81.2352941176471,58.5735294117647,139.294117647059,"level2",42,14,"Amajyaruguru","Musanze",17.1047537629412,1282858.82352941,"October",50.1029411764706,81.2352941176471
"7625",288,86.5143760851115,20.5579624457502,40.0972533713884,105.0718875,14.38995,31.2687888261638,197412.5,1068497.5,59.5625,78.1125,52,135.6125,"level2",42,14,"Amajyaruguru","Rulindo",16.8788388261638,1265910,"October",59.5625,78.1125
"7651",288,86.5140380890876,20.8138181917591,39.7101537416976,117.4114125,14.8698,31.8059464961806,197361.25,1072855,58.8625,79.675,51.4625,135.1875,"level2",42,15,"Amajyaruguru","Burera",16.9361464961806,1270216.25,"October",58.8625,79.675
"7652",288,86.6472461349143,20.9422709511646,38.6486383970811,111.051511363636,14.7525,31.7511802055015,197594.318181818,1077300,62.5454545454545,78.7840909090909,48.8068181818182,134.568181818182,"level2",42,15,"Amajyaruguru","Gakenke",16.9986802055015,1274894.31818182,"October",62.5454545454545,78.7840909090909
"7653",288,86.4005292890777,20.6162387119167,40.1143207297324,128.613638888889,14.8394444444444,31.7646533840437,196750.925925926,1072638.88888889,56.1388888888889,79.7962962962963,52.8796296296296,136.009259259259,"level2",42,15,"Amajyaruguru","Gicumbi",16.9252089395992,1269389.81481481,"October",56.1388888888889,79.7962962962963
"7654",288,87.0653382242147,20.4054573328253,42.5514192351433,118.827529411765,15.1348235294118,32.2178678926305,198158.823529412,1083066.17647059,50.0147058823529,81.2647058823529,58.4852941176471,139.058823529412,"level2",42,15,"Amajyaruguru","Musanze",17.0830443632187,1281225,"October",50.0147058823529,81.2647058823529
"7655",288,86.0127135376418,20.8660164038082,39.271470383251,115.0786875,14.38995,31.1976101444666,197435,1063142.5,63.7875,77.825,49.5625,133.05,"level2",42,15,"Amajyaruguru","Rulindo",16.8076601444666,1260577.5,"October",63.7875,77.825
"7681",295,29.9105568736229,0,36.9324406512213,17.86505,13.84635,17.8400259604312,71023.3333333333,228495,0,0,61.55,65.0333333333333,"level2",43,8,"Amajyaruguru","Burera",3.99367596043115,299518.333333333,"October",0,0
